Item Identifier,Item Fat Content,Item Type,Outlet Establishment Year,Outlet Location Type,Outlet Size,Outlet Type,Total Amount,Rating
FDV51,Low Fat,Meat,2020,Tier 2,High,Supermarket Type1,14962.02405,4.4
FDL10,Low Fat,Snack Foods,2020,Tier 2,High,Supermarket Type1,9034.40405,4.4
FDT12,Regular,Baking Goods,2015,Tier 2,High,Supermarket Type1,20261.68455,4.4
FDD26,Regular,Canned,2015,Tier 2,High,Supermarket Type1,16758.7391,4.4
FDN16,Regular,Frozen Foods,2015,Tier 2,High,Supermarket Type1,9485.18475,4.4
FDG56,Regular,Fruits and Vegetables,2015,Tier 2,High,Supermarket Type1,5492.0374,4.4
FDT55,Regular,Fruits and Vegetables,2015,Tier 2,High,Supermarket Type1,14240.96265,4.4
FDH20,Regular,Fruits and Vegetables,2015,Tier 2,High,Supermarket Type1,8830.15025,4.4
FDK32,Regular,Fruits and Vegetables,2015,Tier 2,High,Supermarket Type1,13922.70505,4.4
FDT09,Regular,Snack Foods,2015,Tier 2,High,Supermarket Type1,11726.0381,4.4
FDA47,Regular,Baking Goods,2020,Tier 2,High,Supermarket Type1,14811.92025,4.4
FDS11,Regular,Breads,2020,Tier 2,High,Supermarket Type1,20045.3192,4.4
FDL13,Regular,Breakfast,2020,Tier 2,High,Supermarket Type1,21103.1575,4.4
FDA04,Regular,Frozen Foods,2020,Tier 2,High,Supermarket Type1,23302.20705,4.4
FDF21,Regular,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,17287.65825,4.4
FDR15,Regular,Meat,2020,Tier 2,Medium,Supermarket Type1,14090.85885,4.4
FDM51,Regular,Meat,2020,Tier 2,Medium,Supermarket Type1,9013.03285,4.4
FDN46,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,9307.7713,4.4
FDI58,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,8574.833,4.4
FDM57,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,7688.4697,4.4
FDY33,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,14415.28955,4.4
FDU02,low fat,Dairy,2020,Tier 2,Medium,Supermarket Type1,20751.6518,4.4
FDD32,reg,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,7294.6909,4.4
FDB57,reg,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,19907.0923,4.4
NCP06,LF,Household,2017,Tier 2,Small,Supermarket Type1,13793.50315,4.4
FDV23,Low Fat,Breads,2017,Tier 2,Small,Supermarket Type1,11371.91515,4.4
FDH38,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,10431.1672,4.4
FDX37,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,9058.3925,4.4
FDN02,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,18705.55795,4.4
FDU04,Low Fat,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,10969.11135,4.4
FDX40,Low Fat,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,3458.0551,4.4
FDX20,Low Fat,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,20321.773,4.4
FDX55,Low Fat,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,19504.52315,4.4
DRK11,Low Fat,Hard Drinks,2017,Tier 2,Small,Supermarket Type1,13495.9128,4.4
DRL23,Low Fat,Hard Drinks,2017,Tier 2,Small,Supermarket Type1,9502.76545,4.4
NCN05,Low Fat,Health and Hygiene,2017,Tier 2,Small,Supermarket Type1,16677.74875,4.4
NCH43,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,19495.7328,4.4
FDA33,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,13267.4359,4.4
FDX58,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,16506.27375,4.4
FDA21,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,16722.6391,4.4
FDG59,Low Fat,Starchy Foods,2017,Tier 2,Small,Supermarket Type1,3385.8551,4.4
FDL12,Regular,Baking Goods,2017,Tier 2,Small,Supermarket Type1,5435.0355,4.4
FDU37,Regular,Canned,2017,Tier 2,Small,Supermarket Type1,7030.114,4.4
FDE14,Regular,Canned,2017,Tier 2,Small,Supermarket Type1,9031.3175,4.4
FDB14,Regular,Canned,2017,Tier 2,Small,Supermarket Type1,8511.658,4.4
FDT26,Regular,Dairy,2017,Tier 2,Small,Supermarket Type1,10743.721,4.4
FDS19,Regular,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,6841.0583,4.4
FDH31,Regular,Meat,2017,Tier 2,Small,Supermarket Type1,9016.35405,4.4
FDO15,Regular,Meat,2017,Tier 2,Small,Supermarket Type1,6606.64295,4.4
FDG34,Regular,Snack Foods,2017,Tier 2,Small,Supermarket Type1,9884.66735,4.4
FDH47,Regular,Starchy Foods,2017,Tier 2,Small,Supermarket Type1,8610.4637,4.4
FDL38,reg,Canned,2017,Tier 2,Small,Supermarket Type1,8205.2773,4.4
DRL60,LF,Soft Drinks,2011,Tier 3,Medium,Grocery Store,13859.53005,4.4
FDK38,Low Fat,Canned,2011,Tier 3,Medium,Grocery Store,13273.37435,4.4
FDR02,Low Fat,Dairy,2011,Tier 3,Medium,Grocery Store,9854.27115,4.4
DRI51,Low Fat,Dairy,2011,Tier 3,Medium,Grocery Store,15376.4701,4.4
FDC41,Low Fat,Frozen Foods,2011,Tier 3,Medium,Grocery Store,6982.37175,4.4
NCM05,Low Fat,Health and Hygiene,2011,Tier 3,Medium,Grocery Store,23710.71465,4.4
NCI29,Low Fat,Health and Hygiene,2011,Tier 3,Medium,Grocery Store,12735.66485,4.4
NCR53,Low Fat,Health and Hygiene,2011,Tier 3,Medium,Grocery Store,20445.2711,4.4
NCF06,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,23374.40705,4.4
NCV42,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,10019.8077,4.4
NCU54,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,18747.36175,4.4
NCK18,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,15064.3856,4.4
NCC30,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,15941.2546,4.4
NCF42,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,16025.8008,4.4
FDP15,Low Fat,Meat,2011,Tier 3,High,Grocery Store,23106.97825,4.4
DRB25,Low Fat,Soft Drinks,2011,Tier 3,High,Grocery Store,9665.21545,4.4
FDM02,Regular,Canned,2011,Tier 3,High,Grocery Store,7763.28695,4.4
FDA01,Regular,Canned,2011,Tier 3,High,Grocery Store,5441.2086,4.4
FDI16,Regular,Frozen Foods,2011,Tier 3,High,Grocery Store,4906.351,4.4
FDV28,Regular,Frozen Foods,2011,Tier 3,High,Grocery Store,3154.76095,4.4
FDF08,Regular,Fruits and Vegetables,2011,Tier 3,High,Grocery Store,7967.7754,4.4
FDW51,Regular,Meat,2011,Tier 3,High,Grocery Store,19291.479,4.4
FDB58,Regular,Snack Foods,2011,Tier 3,High,Grocery Store,12690.53985,4.4
FDZ59,reg,Baking Goods,2011,Tier 3,Small,Grocery Store,15058.2125,4.4
FDK36,LF,Baking Goods,2000,Tier 3,High,Supermarket Type1,4341.33185,4.4
FDZ27,LF,Dairy,2000,Tier 3,High,Supermarket Type1,4515.65875,4.4
FDS48,Low Fat,Baking Goods,2000,Tier 3,High,Supermarket Type1,13579.9897,4.4
FDC02,Low Fat,Canned,2000,Tier 3,High,Supermarket Type1,23503.60895,4.4
FDI15,Low Fat,Dairy,2000,Tier 3,High,Supermarket Type1,23806.9031,4.4
DRJ39,Low Fat,Dairy,2000,Tier 3,High,Supermarket Type1,19633.72505,4.4
FDT40,Low Fat,Frozen Foods,2000,Tier 3,High,Supermarket Type1,11359.56895,4.4
FDE29,Low Fat,Frozen Foods,2000,Tier 3,High,Supermarket Type1,5567.32395,4.4
FDT28,Low Fat,Frozen Foods,2000,Tier 3,High,Supermarket Type1,13534.8647,4.4
FDK41,Low Fat,Frozen Foods,2000,Tier 3,High,Supermarket Type1,7835.7216,4.4
FDE45,Low Fat,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,16245.01805,4.4
FDZ20,Low Fat,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,23035.0129,4.4
FDT31,Low Fat,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,17146.3448,4.4
FDP20,Low Fat,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,11561.2055,4.4
DRM59,Low Fat,Hard Drinks,2000,Tier 3,High,Supermarket Type1,14042.88195,4.4
DRL35,Low Fat,Hard Drinks,2000,Tier 3,High,Supermarket Type1,4041.12425,4.4
DRP35,Low Fat,Hard Drinks,2000,Tier 3,High,Supermarket Type1,11473.8074,4.4
NCU17,Low Fat,Health and Hygiene,2000,Tier 3,High,Supermarket Type1,9184.50785,4.4
NCU53,Low Fat,Health and Hygiene,2000,Tier 3,High,Supermarket Type1,14880.79905,4.4
NCT05,Low Fat,Health and Hygiene,2000,Tier 3,High,Supermarket Type1,23155.1898,4.4
NCC19,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,17362.4755,4.4
NCV54,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,10515.2441,4.4
NCF19,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,4323.28185,4.4
NCE30,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,19195.29055,4.4
NCG19,Low Fat,Household,2000,Tier 3,High,Supermarket Type1,21196.2594,4.4
FDT21,Low Fat,Snack Foods,2000,Tier 3,High,Supermarket Type1,22382.8303,4.4
FDT57,Low Fat,Snack Foods,2000,Tier 3,High,Supermarket Type1,21544.9132,4.4
FDP46,Low Fat,Snack Foods,2000,Tier 3,High,Supermarket Type1,8292.44075,4.4
FDZ09,Low Fat,Snack Foods,2000,Tier 3,High,Supermarket Type1,14917.1337,4.4
DRF13,Low Fat,Soft Drinks,2000,Tier 3,High,Supermarket Type1,13099.2821,4.4
DRG36,Low Fat,Soft Drinks,2000,Tier 3,High,Supermarket Type1,15505.90665,4.4
FDJ12,Regular,Baking Goods,2000,Tier 3,High,Supermarket Type1,18864.9214,4.4
FDZ49,Regular,Canned,2000,Tier 3,High,Supermarket Type1,20042.70195,4.4
FDW52,Regular,Frozen Foods,2000,Tier 3,High,Supermarket Type1,14823.79715,4.4
FDY16,Regular,Frozen Foods,2000,Tier 3,High,Supermarket Type1,16680.60065,4.4
FDZ43,Regular,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,21836.0958,4.4
FDE33,Regular,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,6955.0621,4.4
FDU43,Regular,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,21538.7401,4.4
FDU51,Regular,Meat,2000,Tier 3,High,Supermarket Type1,16109.8777,4.4
FDW21,Regular,Snack Foods,2000,Tier 3,High,Supermarket Type1,9172.63095,4.4
FDI21,Regular,Snack Foods,2000,Tier 3,High,Supermarket Type1,5651.1662,4.4
FDI58,Regular,Snack Foods,2000,Tier 3,High,Supermarket Type1,8231.883,4.4
FDJ21,Regular,Snack Foods,2000,Tier 3,High,Supermarket Type1,13312.79555,4.4
NCJ29,low fat,Health and Hygiene,2000,Tier 3,High,Supermarket Type1,7619.1216,4.4
FDW09,reg,Snack Foods,2000,Tier 3,High,Supermarket Type1,7322.00055,4.4
FDB45,LF,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,9442.91165,4.4
FDO37,Low Fat,Breakfast,2022,Tier 3,Medium,Supermarket Type2,21004.11715,4.4
FDO25,Low Fat,Canned,2022,Tier 3,Medium,Supermarket Type2,18918.83675,4.4
FDY25,Low Fat,Canned,2022,Tier 3,Medium,Supermarket Type2,16262.8334,4.4
FDX02,Low Fat,Dairy,2022,Tier 3,Medium,Supermarket Type2,20246.7211,4.4
FDK16,Low Fat,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,8601.67335,4.4
FDB08,Low Fat,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,14472.29145,4.4
FDS55,Low Fat,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,13372.64935,4.4
FDU55,Low Fat,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,23494.58395,4.4
NCH42,Low Fat,Household,2022,Tier 3,Medium,Supermarket Type2,20721.49025,4.4
NCO02,Low Fat,Others,2022,Tier 3,Medium,Supermarket Type2,5975.83155,4.4
FDK22,Low Fat,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,19465.57125,4.4
FDC58,Low Fat,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,3839.4877,4.4
FDP58,Low Fat,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,19859.35005,4.4
FDV48,Regular,Baking Goods,2022,Tier 3,Medium,Supermarket Type2,6991.1621,4.4
FDK60,Regular,Baking Goods,2022,Tier 3,Medium,Supermarket Type2,8926.3387,4.4
FDS59,Regular,Breads,2022,Tier 3,Medium,Supermarket Type2,9842.39425,4.4
FDN25,Regular,Breakfast,2022,Tier 3,Medium,Supermarket Type2,5212.7317,4.4
FDG38,Regular,Canned,2022,Tier 3,Medium,Supermarket Type2,7664.2466,4.4
FDM02,Regular,Canned,2022,Tier 3,Medium,Supermarket Type2,7934.76195,4.4
FDY28,Regular,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,19351.56745,4.4
FDT16,Regular,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,23485.55895,4.4
FDQ40,Regular,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,15890.4258,4.4
FDU28,Regular,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,16923.80635,4.4
FDC57,Regular,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,17533.9505,4.4
FDN46,Regular,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,9307.7713,4.4
FDT10,Regular,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,5474.22205,4.4
FDZ33,low fat,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,13222.3109,4.4
NCJ05,LF,Health and Hygiene,1998,Tier 3,Medium,Supermarket Type3,13751.23005,4.4
FDN01,Low Fat,Breakfast,1998,Tier 3,Medium,Supermarket Type3,16058.81425,4.4
FDC02,Low Fat,Canned,1998,Tier 3,Medium,Supermarket Type3,23404.33395,4.4
FDS01,Low Fat,Canned,1998,Tier 3,Medium,Supermarket Type3,15881.16615,4.4
DRI39,Low Fat,Dairy,1998,Tier 3,Medium,Supermarket Type3,4954.09325,4.4
FDB53,Low Fat,Frozen Foods,1998,Tier 3,Medium,Supermarket Type3,13315.4128,4.4
FDI28,Low Fat,Frozen Foods,1998,Tier 3,Medium,Supermarket Type3,7132.47555,4.4
FDL04,Low Fat,Frozen Foods,1998,Tier 3,Medium,Supermarket Type3,9635.28855,4.4
DRJ59,Low Fat,Hard Drinks,1998,Tier 3,Medium,Supermarket Type3,3521.2301,4.4
DRL35,Low Fat,Hard Drinks,1998,Tier 3,Medium,Supermarket Type3,3779.39925,4.4
NCI29,Low Fat,Health and Hygiene,1998,Tier 3,Medium,Supermarket Type3,12627.36485,4.4
NCK29,Low Fat,Health and Hygiene,1998,Tier 3,Medium,Supermarket Type3,11296.86325,4.4
NCM05,Low Fat,Health and Hygiene,1998,Tier 3,Medium,Supermarket Type3,23800.96465,4.4
NCO29,Low Fat,Health and Hygiene,1998,Tier 3,Medium,Supermarket Type3,14814.77215,4.4
NCP17,Low Fat,Health and Hygiene,1998,Tier 3,Medium,Supermarket Type3,5615.0662,4.4
NCE42,Low Fat,Household,1998,Tier 3,Medium,Supermarket Type3,21208.37095,4.4
NCI42,Low Fat,Household,1998,Tier 3,Medium,Supermarket Type3,18816.70985,4.4
NCQ54,Low Fat,Household,1998,Tier 3,Medium,Supermarket Type3,15193.35285,4.4
FDV45,Low Fat,Snack Foods,1998,Tier 3,Medium,Supermarket Type3,16917.8679,4.4
FDO49,Regular,Breakfast,1998,Tier 3,Medium,Supermarket Type3,4449.3972,4.4
FDB02,Regular,Canned,1998,Tier 3,Medium,Supermarket Type3,16049.78925,4.4
FDE51,Regular,Dairy,1998,Tier 3,Medium,Supermarket Type3,3944.70115,4.4
FDR19,Regular,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,13132.29555,4.4
FDR31,Regular,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,13303.77055,4.4
FDT07,Regular,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,23206.25325,4.4
FDI07,Regular,Meat,1998,Tier 3,Medium,Supermarket Type3,17801.14465,4.4
FDU28,Regular,Frozen Foods,2020,Tier 2,Small,Supermarket Type1,16950.88135,4.3
DRI11,Low Fat,Hard Drinks,1998,Tier 3,Medium,Supermarket Type3,10223.82685,4.3
FDE51,Regular,Dairy,2011,Tier 3,Small,Grocery Store,4107.15115,4.3
FDU02,Low Fat,Dairy,2010,Tier 1,Small,Supermarket Type1,20814.8268,4.3
FDA46,Low Fat,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,17410.4524,4.3
FDF09,Low Fat,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,3455.2032,4.3
FDL12,Regular,Baking Goods,2000,Tier 3,High,Supermarket Type1,5344.7855,4.3
FDQ10,Low Fat,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,15553.88355,4.3
FDZ16,Regular,Frozen Foods,2020,Tier 2,Small,Supermarket Type1,17368.41395,4.3
FDY25,Low Fat,Canned,1998,Tier 3,Medium,Supermarket Type3,16298.9334,4.3
FDR28,reg,Frozen Foods,2022,Tier 3,Medium,Supermarket Type2,14577.27025,4.3
FDX20,Low Fat,Fruits and Vegetables,2010,Tier 1,Small,Supermarket Type1,20412.023,4.3
DRF49,Low Fat,Soft Drinks,2010,Tier 1,Small,Supermarket Type1,10311.22495,4.3
DRL01,Regular,Soft Drinks,2020,Tier 2,Small,Supermarket Type1,21072.99595,4.3
FDB35,Regular,Starchy Foods,2015,Tier 2,Small,Supermarket Type1,8364.4061,4.3
NCN55,Low Fat,Others,2012,Tier 1,Medium,Supermarket Type1,21556.55545,4.3
FDG52,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,4128.05305,4.3
FDR44,Regular,Fruits and Vegetables,2011,Tier 3,Small,Grocery Store,11849.5362,4.3
FDX15,Low Fat,Meat,2000,Tier 3,High,Supermarket Type1,14499.36645,4.3
DRJ13,Low Fat,Soft Drinks,2000,Tier 3,High,Supermarket Type1,14580.59145,4.3
FDF14,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,13748.1435,4.3
FDU44,Regular,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,14751.8318,4.3
FDT39,Regular,Meat,2017,Tier 2,Small,Supermarket Type1,13640.07815,4.3
FDE08,Low Fat,Fruits and Vegetables,2011,Tier 3,Small,Grocery Store,13300.44935,4.3
FDV60,Regular,Baking Goods,1998,Tier 3,Medium,Supermarket Type3,17708.04275,4.3
NCQ54,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,15076.02785,4.3
FDX19,Low Fat,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,21217.39595,4.3
FDS33,Regular,Snack Foods,2010,Tier 1,Small,Supermarket Type1,8045.91385,4.3
DRQ35,Low Fat,Hard Drinks,1998,Tier 3,Medium,Supermarket Type3,11050.1017,4.3
DRI37,Low Fat,Soft Drinks,2012,Tier 1,Medium,Supermarket Type1,5378.0336,4.3
FDU09,Regular,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,4990.4279,4.3
FDH26,Regular,Canned,2010,Tier 1,Small,Supermarket Type1,12792.9014,4.3
FDL51,Regular,Dairy,2022,Tier 3,Medium,Supermarket Type2,19186.0309,4.3
NCA54,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,16247.86995,4.3
FDB34,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,7781.33695,4.3
FDT57,Low Fat,Snack Foods,2011,Tier 3,Small,Grocery Store,21220.0132,4.3
NCE19,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,4764.8029,4.3
FDZ38,Low Fat,Dairy,2022,Tier 3,Medium,Supermarket Type2,15725.35855,4.3
FDF10,Regular,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,13460.04745,4.3
NCO54,Low Fat,Household,1998,Tier 3,Medium,Supermarket Type3,5122.71635,4.3
FDO28,Low Fat,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,10821.85945,4.3
FDU25,Low Fat,Canned,2010,Tier 1,Small,Supermarket Type1,5092.32015,4.3
FDA40,Regular,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,7895.5754,4.3
FDQ37,Low Fat,Breakfast,2011,Tier 3,Medium,Grocery Store,17404.51395,4.3
NCX42,Low Fat,Household,2015,Tier 2,Medium,Supermarket Type1,14769.64715,4.3
NCD19,Low Fat,Household,2011,Tier 3,Medium,Grocery Store,5059.54135,4.3
DRG01,Low Fat,Soft Drinks,2017,Tier 2,Small,Supermarket Type1,6901.14675,4.3
DRH13,Low Fat,Soft Drinks,2022,Tier 3,Medium,Supermarket Type2,9596.102,4.3
FDO22,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,7364.039,4.3
DRE25,Low Fat,Soft Drinks,2017,Tier 2,Small,Supermarket Type1,8313.108,4.3
NCF42,Low Fat,Household,2010,Tier 1,Small,Supermarket Type1,15854.3258,4.3
FDZ01,Regular,Canned,2011,Tier 3,Medium,Grocery Store,9196.38475,4.3
FDY51,Low Fat,Meat,2022,Tier 3,Medium,Supermarket Type2,19925.37695,4.3
FDA34,Low Fat,Starchy Foods,1998,Tier 3,Medium,Supermarket Type3,15740.322,4.3
FDS19,Regular,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,6940.3333,4.3
FDG20,Regular,Fruits and Vegetables,2011,Tier 3,Medium,Grocery Store,16082.8027,4.3
FDR24,Regular,Baking Goods,2015,Tier 2,Medium,Supermarket Type1,7940.46575,4.3
NCI43,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,4181.9684,4.3
FDG21,Regular,Seafood,2022,Tier 3,Medium,Supermarket Type2,13501.85125,4.3
FDF40,Regular,Dairy,2020,Tier 2,Medium,Supermarket Type1,22418.9303,4.3
FDS03,Low Fat,Meat,1998,Tier 1,Small,Grocery Store,5963.95465,4.3
FDA01,Regular,Canned,2017,Tier 2,Small,Supermarket Type1,5287.7836,4.3
DRC12,Low Fat,Soft Drinks,2020,Tier 2,Medium,Supermarket Type1,17067.9717,4.3
FDY35,Regular,Breads,2015,Tier 2,Medium,Supermarket Type1,4263.42805,4.3
FDH20,Regular,Fruits and Vegetables,2000,Tier 3,High,Supermarket Type1,8586.47525,4.3
FDR58,Low Fat,Snack Foods,1998,Tier 3,Medium,Supermarket Type3,8532.79455,4.3
FDI41,Regular,Frozen Foods,1998,Tier 1,Small,Grocery Store,13108.07245,4.3
FDA15,Low Fat,Dairy,2015,Tier 2,Medium,Supermarket Type1,22581.3803,4.3
DRD60,Low Fat,Soft Drinks,1998,Tier 1,Small,Grocery Store,16349.99685,4.3
FDS31,reg,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,16148.59495,4.3
FDS49,Low Fat,Canned,2020,Tier 2,Medium,Supermarket Type1,7234.8371,4.3
FDJ45,Low Fat,Seafood,1998,Tier 3,Medium,Supermarket Type3,3043.3744,4.3
FDZ35,Regular,Breads,2010,Tier 1,Small,Supermarket Type1,9250.53475,4.3
DRM48,Low Fat,Soft Drinks,2015,Tier 2,Medium,Supermarket Type1,3491.3032,4.3
NCA05,Low Fat,Health and Hygiene,2020,Tier 2,Medium,Supermarket Type1,13237.27435,4.3
FDC09,Regular,Fruits and Vegetables,2022,Tier 3,Medium,Supermarket Type2,9217.5213,4.3
FDQ24,Low Fat,Baking Goods,1998,Tier 1,Small,Grocery Store,22605.1341,4.3
FDQ21,Low Fat,Snack Foods,2022,Tier 3,Medium,Supermarket Type2,10909.0229,4.3
NCK54,Low Fat,Household,1998,Tier 3,Medium,Supermarket Type3,10353.02875,4.3
FDK28,Low Fat,Frozen Foods,2020,Tier 2,Medium,Supermarket Type1,23398.63015,4.3
FDJ56,LF,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,9049.3675,4.3
FDU36,Low Fat,Baking Goods,2012,Tier 1,Medium,Supermarket Type1,8784.7906,4.3
FDR23,Low Fat,Breads,2012,Tier 1,Medium,Supermarket Type1,16031.73925,4.3
FDN13,Low Fat,Breakfast,2012,Tier 1,Medium,Supermarket Type1,8928.95595,4.3
FDK02,Low Fat,Canned,2012,Tier 1,Medium,Supermarket Type1,10870.071,4.3
FDD02,Low Fat,Canned,2012,Tier 1,Medium,Supermarket Type1,10578.4191,4.3
DRD15,Low Fat,Dairy,2012,Tier 1,Medium,Supermarket Type1,20934.76905,4.3
FDE29,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,5603.42395,4.3
FDD28,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,5125.3336,4.3
FDD29,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,22992.97445,4.3
FDE09,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,10046.8827,4.3
FDI45,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,15848.38735,4.3
FDA32,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,19495.7328,4.3
FDZ20,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,22872.5629,4.3
FDT43,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,4704.9491,4.3
FDT44,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,10581.50565,4.3
FDN32,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,16707.67565,4.3
FDR08,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,10025.74615,4.3
DRN35,Low Fat,Hard Drinks,2012,Tier 1,Medium,Supermarket Type1,3326.0013,4.3
DRH23,Low Fat,Hard Drinks,2012,Tier 1,Medium,Supermarket Type1,4960.26635,4.3
NCK17,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,3469.932,4.3
NCS05,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,11858.32655,4.3
NCK53,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,8880.97905,4.3
NCR41,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,8718.99835,4.3
NCS17,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,8352.0599,4.3
NCV17,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,11756.19965,4.3
NCL05,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,3869.64925,4.3
NCZ30,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,10740.63445,4.3
NCE31,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,2971.1744,4.3
NCY54,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,15707.30855,4.3
NCE19,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,5035.5529,4.3
NCO54,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,4851.96635,4.3
NCA06,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,3133.38975,4.3
NCL19,Low Fat,Others,2012,Tier 1,Medium,Supermarket Type1,12738.51675,4.3
